latitude,longitude
39.913523, -118.820244
39.912987, -118.821041
39.912519, -118.821849
39.889973, -118.857261
39.885499, -118.864083
39.884755, -118.865274
39.874574, -118.881195
39.874504, -118.881337
39.865539, -118.897521
39.859129, -118.910907
39.850883, -118.928127
39.832556, -118.966120
39.824916, -118.981860
39.799495, -119.013118
39.798627, -119.014300
39.792813, -119.019338
39.789063, -119.022899
39.778143, -119.033127
39.764177, -119.046391
39.742240, -119.066813
39.738376, -119.070463
39.737278, -119.071618
39.736025, -119.072595
39.733313, -119.075135
39.715815, -119.090276
39.715151, -119.090628
39.712356, -119.092706
39.702285, -119.100711
39.701605, -119.101199
39.691444, -119.109958
39.682013, -119.122445
39.681283, -119.123494
39.677099, -119.129514
39.667963, -119.142663
39.635593, -119.184955
39.634561, -119.186278
39.630675, -119.191631
39.629076, -119.193832
39.625412, -119.198880
39.625239, -119.199118
39.624406, -119.200031
39.614653, -119.213525
39.613371, -119.216926
39.613028, -119.218611
39.612752, -119.222338
39.612843, -119.223107
39.612843, -119.223344
39.614025, -119.232495
39.614622, -119.236891
39.615138, -119.245366
39.615064, -119.252655
39.615031, -119.253641
39.615676, -119.262699
39.615790, -119.263609
39.616019, -119.265117
39.616363, -119.267572
39.617999, -119.279834
39.618055, -119.286063
39.617765, -119.292624
39.617673, -119.293098
39.617620, -119.294036
39.617189, -119.300352
39.617107, -119.301147
39.616874, -119.303391
39.616412, -119.306858
39.616216, -119.307828
39.616011, -119.308660
39.614741, -119.312051
39.614495, -119.312560
39.612682, -119.315495
39.610217, -119.319134
39.609225, -119.320598
39.599849, -119.344170
39.597714, -119.360621
39.593337, -119.367216
39.592929, -119.367603
39.591420, -119.370095
39.590526, -119.373021
39.591354, -119.383044
39.590158, -119.388778
39.589822, -119.390637
39.589412, -119.393516
39.589394, -119.393663
39.589599, -119.399159
39.591348, -119.407547
39.589587, -119.425822
39.589529, -119.428880
39.589463, -119.432310
39.589453, -119.432857
39.589878, -119.449271
39.587481, -119.463834
39.585695, -119.467235
39.566971, -119.482664
39.566926, -119.495607
39.566972, -119.496051
39.567069, -119.496998
39.567397, -119.500160
39.567790, -119.502632
39.567905, -119.503548
39.567998, -119.504870
39.568068, -119.507418
39.568247, -119.520924
39.568272, -119.522813
39.568301, -119.524970
39.562234, -119.547233
39.561603, -119.549078
39.554743, -119.564104
39.554469, -119.564754
39.553234, -119.567206
39.545883, -119.590872
39.542842, -119.596105
39.539979, -119.598969
39.531052, -119.609903
39.523296, -119.624192
39.522690, -119.625057
39.519112, -119.630520
39.517880, -119.631368
39.511624, -119.651209
39.511400, -119.653241
39.511048, -119.655257
39.510968, -119.655753
39.510792, -119.656969
39.513111, -119.674874
39.514919, -119.678938
39.523311, -119.691256
39.525311, -119.695519
39.525611, -119.696219
39.525863, -119.697371
39.526511, -119.700119
39.526911, -119.702119
39.527811, -119.709220
39.528372, -119.714842
39.529311, -119.724120
39.531111, -119.733101
39.531609, -119.734190
39.532011, -119.735069
39.533511, -119.738321
39.534304, -119.742153
39.534611, -119.751221
39.534611, -119.751321
39.534411, -119.752821
39.534011, -119.756022
39.533911, -119.757122
39.533975, -119.758814
39.534007, -119.760622
39.534011, -119.762122
39.534111, -119.765622
39.534111, -119.771622
39.534211, -119.773022
39.534710, -119.776123
39.535093, -119.777436
39.535410, -119.778523
39.535410, -119.779123
39.535110, -119.780623
39.535010, -119.781023
39.534810, -119.782223
39.533910, -119.787323
39.533855, -119.787812
39.533806, -119.788253
39.533810, -119.788423
39.533718, -119.789237
39.533707, -119.789708
39.533710, -119.790823
39.533750, -119.793263
39.533710, -119.794123
39.533410, -119.795424
39.533210, -119.796724
39.532910, -119.798024
